donor_id,donor_name,structure_acronym,mip_1a_pg_per_mg,rantes_pg_per_mg
309335467,H14.09.030,FWM,9.38,15.99
309335480,H14.09.043,PCx,8.1,24.04
309335493,H14.09.056,FWM,27,129.8
326765668,H14.09.081,FWM,8.06,15.16
326765668,H14.09.081,TCx,10.52,17.9
467056408,H15.09.109,TCx,11.48,55.03
326765677,H14.09.090,FWM,2.73,16.81
326765666,H14.09.079,FWM,8.9,25.9
309335479,H14.09.042,PCx,9.34,29.72
309335497,H14.09.060,PCx,6.96,20.48
326765662,H14.09.075,TCx,5.9,30.1
326765653,H14.09.066,TCx,8.88,31.7
326765676,H14.09.089,HIP,,
467056409,H15.09.110,HIP,49.67,16.19
309335497,H14.09.060,FWM,2.94,9.42
326765681,H14.09.094,TCx,11.9,10.04
326765670,H14.09.083,TCx,12.3,79.08
326765683,H14.09.096,HIP,17.98,7.58
326765682,H14.09.095,PCx,531.05,104.47
326765670,H14.09.083,HIP,23.86,12.78
309335453,H14.09.016,TCx,17.06,98
326765672,H14.09.085,TCx,3.98,17.64
467056397,H15.09.104,TCx,11.21,13.47
326765667,H14.09.080,HIP,24.72,11.78
309335438,H14.09.001,TCx,12.34,62.82
326765658,H14.09.071,TCx,15.38,89.46
309335471,H14.09.034,HIP,0.1052,0.1182
309335474,H14.09.037,TCx,9.7,59
467056407,H15.09.108,FWM,6.36,14.9
326765652,H14.09.065,HIP,11.24,14.84
309335464,H14.09.027,HIP,,
326765649,H14.09.062,FWM,23.54,181.62
326765657,H14.09.070,FWM,0,11.58
309335451,H14.09.014,FWM,9.6,40.94
467056407,H15.09.108,PCx,16.59,88.97
326765649,H14.09.062,TCx,14.36,81.36
309335477,H14.09.040,TCx,8.16,42.98
326765673,H14.09.086,HIP,60.58,10.8
326765679,H14.09.092,PCx,16.42,84.71
326765688,H14.09.101,FWM,16.01,91.29
309335468,H14.09.031,HIP,36.52,22.82
309335470,H14.09.033,HIP,23.24,14.66
326765675,H14.09.088,TCx,5.96,9.74
309335491,H14.09.054,FWM,11.75,35.8
309335476,H14.09.039,FWM,16.78,73.14
326765670,H14.09.083,FWM,,
326765681,H14.09.094,HIP,70.12,7.92
309335468,H14.09.031,TCx,21.3,221.24
326765687,H14.09.100,PCx,16.31,84.67
309335470,H14.09.033,TCx,10.92,46
309335447,H14.09.010,TCx,4.04,18.8
309335444,H14.09.007,FWM,18.26,108.6
326765669,H14.09.082,FWM,9.68,31.92
309335497,H14.09.060,HIP,65.14,15.56
309335447,H14.09.010,PCx,10.7,31.98
309335456,H14.09.019,PCx,4.92,14.48
309335445,H14.09.008,FWM,,
326765669,H14.09.082,HIP,33.08,16.28
309335482,H14.09.045,FWM,12.06,30.9
309335486,H14.09.049,HIP,22.04,11.04
326765674,H14.09.087,PCx,6.1,32.17
309335469,H14.09.032,FWM,18.2,58.64
309335470,H14.09.033,PCx,8.78,30.64
309335482,H14.09.045,PCx,13.5,34.58
326765682,H14.09.095,TCx,441.26,52.64
309335455,H14.09.018,TCx,11.3,30.6
309335446,H14.09.009,PCx,13.24,38.6
309335456,H14.09.019,HIP,22.98,4.42
309335456,H14.09.019,TCx,6.2,4.66
309335483,H14.09.046,HIP,19.3,29.7
309335459,H14.09.022,FWM,2.36,0
467056397,H15.09.104,PCx,6.46,16.93
326765679,H14.09.092,TCx,13.8,41.16
309335457,H14.09.020,TCx,19.92,151.72
309335474,H14.09.037,FWM,19.44,90.5
